record_id,hour,day_of_week,is_holiday,weather,road_type,lanes,traffic_volume
1,10,4,0.0,Clear,Local,3,318
2,8,6,0.0,Clear,Main,5,832
3,13,3,0.0,Clear,Main,3,598
4,2,6,0.0,Clear,Main,3,617
5,4,5,0.0,Clear,Highway,4,767
6,23,2,1.0,Clear,Main,2,366
7,20,5,1.0,Clear,Highway,2,582
8,8,5,0.0,Clear,Highway,3,916
9,17,2,0.0,Clear,Main,3,728
10,5,0,0.0,Clear,Highway,5,848
11,20,5,0.0,Rain,Local,4,367
12,6,4,0.0,Clear,Main,2,504
13,15,6,0.0,Clear,Main,2,585
14,7,2,1.0,Clear,Highway,3,844
15,22,2,0.0,Clear,Main,3,512
16,9,6,0.0,Clear,Main,4,786
17,4,3,0.0,Clear,Highway,2,706
18,10,1,0.0,Clear,Main,4,591
19,20,5,0.0,Clear,Main,2,471
20,12,4,0.0,Clear,Main,3,467
21,19,0,0.0,Clear,Highway,4,1000
22,1,5,0.0,Clear,Main,5,605
23,13,6,0.0,Clear,Main,3,623
24,8,0,0.0,Clear,Main,5,831
25,9,3,0.0,Clear,Local,5,624
26,9,5,0.0,Clear,Main,5,826
27,9,0,,Clear,Highway,2,807
28,18,5,0.0,Rain,Local,5,656
29,10,2,0.0,Clear,Highway,2,666
30,10,5,0.0,Rain,Main,4,631
31,2,4,0.0,Clear,Main,3,499
32,18,5,0.0,Clear,Main,2,777
33,23,0,0.0,Clear,Local,2,341
34,21,4,1.0,Snow,Main,4,533
35,0,0,1.0,Rain,Highway,4,711
36,11,6,0.0,Clear,Local,3,259
37,14,6,1.0,Clear,Highway,4,639
38,13,1,1.0,Clear,Highway,2,532
39,2,1,0.0,Snow,Highway,3,731
40,19,4,0.0,Clear,Highway,3,1000
41,12,6,0.0,Clear,Highway,3,690
42,17,1,,Clear,Main,5,891
43,15,1,0.0,Clear,Highway,5,884
44,5,2,0.0,Clear,Highway,2,650
45,9,0,0.0,Clear,Main,5,809
46,16,1,1.0,Clear,Local,4,359
47,16,4,0.0,Clear,Main,3,503
48,7,2,0.0,Clear,Local,2,517
49,3,6,0.0,Clear,Highway,4,861
50,14,1,0.0,Clear,Main,3,490
51,0,5,0.0,Rain,Local,4,344
52,6,6,0.0,Clear,Local,5,438
53,9,4,0.0,Clear,Main,4,803
54,6,0,0.0,Rain,Main,5,617
55,0,6,0.0,Rain,Main,4,698
56,16,5,0.0,Rain,Main,2,526
57,11,6,0.0,Clear,Main,5,609
58,16,1,0.0,Clear,Highway,5,781
59,14,4,1.0,Clear,Highway,3,646
60,23,5,0.0,Clear,Main,5,671
61,15,4,0.0,Clear,Main,3,642
62,22,3,0.0,Clear,Highway,5,853
63,13,6,0.0,Clear,Local,5,437
64,2,5,0.0,Clear,Highway,5,801
65,18,4,0.0,Clear,Main,5,918
66,11,5,0.0,Clear,Local,3,400
67,18,3,0.0,Clear,Main,2,660
68,17,0,0.0,Clear,Local,4,653
69,13,0,0.0,Clear,Main,5,598
70,19,6,1.0,Rain,Highway,5,932
71,22,2,1.0,Clear,Main,2,484
72,8,5,0.0,Rain,Highway,3,994
73,2,3,0.0,Clear,Local,4,369
74,22,4,0.0,Clear,Highway,2,691
75,11,2,,Clear,Local,2,284
76,19,5,0.0,Clear,Main,2,693
77,16,2,0.0,Clear,Highway,2,672
78,4,5,0.0,Clear,Local,5,489
79,7,6,0.0,Clear,Local,4,571
80,18,6,1.0,Clear,Local,5,623
81,3,0,1.0,Clear,Local,2,172
82,14,4,0.0,Clear,Main,4,540
83,18,3,0.0,Clear,Main,2,809
84,14,6,0.0,Rain,Main,3,443
85,13,0,0.0,Rain,Local,2,389
86,15,2,1.0,Snow,Main,2,449
87,23,1,0.0,Clear,Local,3,359
88,9,6,0.0,Rain,Local,5,627
89,23,2,0.0,Rain,Local,4,381
90,13,1,0.0,Clear,Highway,2,710
91,19,5,0.0,Clear,Main,2,759
92,10,0,0.0,Snow,Main,3,502
93,1,5,0.0,Snow,Highway,4,803
94,18,3,0.0,Clear,Highway,3,1000
95,2,4,0.0,Clear,Highway,2,684
96,3,6,0.0,Rain,Highway,5,961
97,10,1,0.0,Clear,Local,5,443
98,12,6,0.0,Clear,Main,4,511
99,17,4,0.0,Snow,Main,2,699
100,17,5,0.0,Rain,Main,3,835
101,18,0,0.0,Snow,Local,2,513
102,11,0,0.0,Clear,Main,3,500
103,0,5,1.0,Clear,Highway,3,719
104,23,5,0.0,Snow,Main,4,608
105,5,0,0.0,Clear,Main,3,519
106,2,3,0.0,Rain,Local,4,261
107,16,1,0.0,Clear,Highway,5,881
108,2,4,0.0,Clear,Highway,4,800
109,0,2,0.0,Clear,Highway,4,865
110,2,6,1.0,Clear,Main,4,445
111,3,5,0.0,Clear,Highway,5,831
112,5,5,0.0,Clear,Highway,4,814
113,6,6,0.0,Clear,Main,3,612
114,22,0,0.0,Clear,Local,3,362
115,7,4,0.0,Rain,Main,4,764
116,12,4,,Clear,Local,3,414
117,3,3,0.0,Clear,Local,4,384
118,5,1,0.0,Clear,Highway,5,859
119,10,3,0.0,Clear,Highway,3,787
120,0,3,0.0,Clear,Main,4,678
121,7,4,0.0,Clear,Local,2,518
122,21,1,0.0,Clear,Main,5,779
123,1,1,0.0,Clear,Highway,2,695
124,7,1,0.0,Clear,Local,4,614
125,19,6,,Snow,Highway,3,969
126,8,0,0.0,Snow,Highway,4,1000
127,3,1,0.0,Clear,Highway,3,764
128,16,4,0.0,Clear,Local,4,452
129,6,6,0.0,Snow,Local,4,422
130,9,0,,Clear,Highway,3,923
131,4,2,0.0,Clear,Local,3,362
132,9,5,0.0,Clear,Highway,4,966
133,11,3,0.0,Snow,Highway,2,727
134,20,1,0.0,Rain,Highway,5,822
135,19,2,0.0,Clear,Local,2,480
136,5,1,0.0,Clear,Main,2,443
137,0,3,0.0,Snow,Main,2,441
138,2,4,0.0,Clear,Local,2,273
139,6,4,0.0,Clear,Local,3,307
140,10,3,0.0,Clear,Highway,2,698
141,23,2,0.0,Rain,Highway,5,830
142,11,0,1.0,Clear,Main,3,475
143,8,5,0.0,Rain,Highway,2,919
144,0,5,0.0,Clear,Main,3,533
145,3,5,0.0,Clear,Main,2,562
146,1,0,1.0,Clear,Local,2,153
147,1,1,0.0,Rain,Local,5,500
148,16,3,0.0,Clear,Local,3,357
149,20,3,0.0,Clear,Main,3,530
150,1,0,0.0,Clear,Local,4,456
151,3,2,,Clear,Main,2,527
152,10,5,1.0,Rain,Local,2,146
153,18,6,0.0,Clear,Main,5,918
154,23,3,0.0,Clear,Highway,5,868
155,12,4,0.0,Clear,Highway,3,800
156,21,4,0.0,Clear,Main,5,679
157,20,6,0.0,Snow,Main,3,582
158,17,3,0.0,Clear,Highway,2,927
159,18,5,0.0,Clear,Main,2,739
160,23,5,0.0,Clear,Main,3,537
161,14,5,0.0,Clear,Highway,5,770
162,11,2,0.0,Clear,Main,5,714
163,10,4,0.0,Clear,Local,3,294
164,22,2,0.0,Rain,Highway,2,713
165,0,0,0.0,Clear,Local,3,333
166,15,1,0.0,Clear,Main,5,638
167,12,5,1.0,Clear,Main,3,483
168,5,0,0.0,Clear,Local,2,260
169,22,1,0.0,Clear,Main,4,622
170,5,6,0.0,Clear,Main,3,573
171,9,4,0.0,Clear,Local,4,561
172,1,1,1.0,Clear,Main,3,495
173,2,1,0.0,Rain,Highway,5,918
174,5,3,0.0,Clear,Local,5,551
175,15,1,0.0,Snow,Local,4,386
176,5,3,0.0,Clear,Local,3,359
177,23,1,0.0,Clear,Local,5,462
178,12,3,0.0,Clear,Highway,4,833
179,3,4,0.0,Clear,Local,4,487
180,14,4,0.0,Clear,Local,3,374
181,5,1,0.0,Clear,Main,5,675
182,0,6,0.0,Clear,Local,4,345
183,8,6,0.0,Clear,Main,2,802
184,11,2,0.0,Clear,Local,2,276
185,22,6,0.0,Clear,Local,5,317
186,10,4,0.0,Clear,Highway,5,736
187,12,0,0.0,Clear,Main,2,516
188,0,6,0.0,Snow,Highway,4,736
189,18,0,0.0,Rain,Main,3,802
190,20,3,0.0,Clear,Local,4,325
191,3,2,0.0,Clear,Highway,5,865
192,4,5,0.0,Clear,Main,5,678
193,22,3,0.0,Rain,Main,3,558
194,16,1,1.0,Rain,Highway,4,665
195,4,6,0.0,Clear,Main,3,593
196,18,4,0.0,Rain,Local,4,630
197,2,2,0.0,Clear,Main,4,590
198,10,3,0.0,Rain,Local,2,274
199,1,3,0.0,Clear,Main,4,586
200,21,0,1.0,Clear,Highway,5,843
201,13,1,0.0,Rain,Local,5,449
202,5,3,1.0,Clear,Main,5,486
203,18,0,0.0,Snow,Local,2,502
204,0,2,0.0,Clear,Highway,3,736
205,6,3,0.0,Clear,Main,5,610
206,1,5,1.0,Rain,Main,5,597
207,23,5,0.0,Clear,Local,3,279
208,18,0,1.0,Clear,Highway,2,844
209,0,5,0.0,Clear,Highway,4,850
210,8,1,0.0,Snow,Main,3,718
211,20,4,0.0,Rain,Local,4,421
212,16,5,0.0,Clear,Main,4,597
213,9,2,0.0,Clear,Main,4,798
214,5,3,0.0,Clear,Local,3,375
215,2,0,,Clear,Highway,3,557
216,19,3,0.0,Snow,Main,4,910
217,23,4,1.0,Clear,Main,2,305
218,14,3,0.0,Clear,Local,2,356
219,20,3,0.0,Clear,Local,2,321
220,21,0,0.0,Snow,Main,5,673
221,19,4,0.0,Clear,Highway,4,1000
222,5,2,0.0,Snow,Local,5,509
223,2,0,1.0,Clear,Main,2,440
224,9,6,0.0,Rain,Highway,3,935
225,11,4,1.0,Clear,Local,2,181
226,0,4,0.0,Clear,Local,5,492
227,21,3,0.0,Clear,Main,5,672
228,15,1,0.0,Clear,Local,2,315
229,16,1,0.0,Clear,Main,4,597
230,9,2,0.0,Snow,Local,3,529
231,11,3,0.0,Clear,Highway,3,680
232,18,1,0.0,Snow,Highway,2,982
233,7,0,0.0,Clear,Local,4,590
234,22,2,0.0,Clear,Main,4,587
235,7,3,0.0,Snow,Local,2,409
236,9,5,0.0,Rain,Main,3,754
237,9,0,0.0,Clear,Local,3,481
238,17,1,1.0,Clear,Highway,3,878
239,9,1,0.0,Rain,Main,4,839
240,6,1,0.0,Rain,Highway,2,703
241,3,1,0.0,Rain,Highway,4,794
242,0,4,0.0,Rain,Highway,3,713
243,10,5,0.0,Clear,Local,4,372
244,18,2,0.0,Rain,Main,3,879
245,4,2,1.0,Clear,Highway,2,638
246,7,1,1.0,Clear,Main,3,626
247,1,2,0.0,Clear,Main,5,644
248,1,5,0.0,Clear,Highway,5,862
249,23,0,0.0,Clear,Local,2,321
250,13,0,0.0,Clear,Highway,4,798
251,8,6,0.0,Clear,Highway,4,911
252,9,2,0.0,Clear,Main,4,798
253,12,1,0.0,Clear,Local,3,345
254,0,3,0.0,Clear,Main,5,752
255,13,5,0.0,Clear,Local,2,434
256,1,1,0.0,Rain,Highway,4,832
257,3,4,0.0,Clear,Local,4,366
258,18,3,1.0,Clear,Main,2,683
259,0,5,0.0,Snow,Highway,3,665
260,3,4,0.0,Clear,Local,4,373
261,10,2,0.0,Clear,Local,3,268
262,12,4,0.0,Clear,Main,3,577
263,17,2,,Rain,Local,3,539
264,9,4,0.0,Rain,Highway,4,985
265,4,3,0.0,Clear,Local,4,397
266,0,4,0.0,Rain,Main,2,498
267,13,1,0.0,Rain,Local,2,276
268,15,2,1.0,Clear,Highway,3,666
269,23,0,0.0,Clear,Highway,4,737
270,17,4,0.0,Rain,Local,3,686
271,2,2,0.0,Clear,Local,2,248
272,2,0,0.0,Clear,Highway,3,751
273,3,2,1.0,Clear,Main,5,581
274,6,6,0.0,Clear,Highway,3,784
275,12,2,0.0,Clear,Local,4,438
276,8,0,0.0,Clear,Local,3,470
277,2,0,1.0,Clear,Main,3,404
278,16,3,0.0,Snow,Highway,4,806
279,14,5,0.0,Clear,Highway,5,874
280,9,6,0.0,Clear,Main,4,862
281,14,4,0.0,Snow,Highway,2,674
282,0,4,0.0,Rain,Main,5,604
283,21,6,0.0,Clear,Highway,5,822
284,20,2,0.0,Clear,Main,4,712
285,9,6,0.0,Clear,Main,3,825
286,6,1,0.0,Snow,Main,2,491
287,6,1,0.0,Clear,Local,2,364
288,2,5,0.0,Clear,Local,5,421
289,6,2,1.0,Rain,Local,2,247
290,8,3,0.0,Clear,Highway,5,981
291,7,0,0.0,Rain,Main,5,867
292,2,2,0.0,Clear,Highway,2,750
293,4,4,0.0,Clear,Highway,5,833
294,12,1,0.0,Clear,Main,3,580
295,12,1,0.0,Clear,Local,5,421
296,7,1,,Rain,Highway,3,965
297,17,3,0.0,Rain,Highway,3,975
298,6,4,0.0,Rain,Highway,3,790
299,9,3,0.0,Clear,Local,2,436
300,9,0,0.0,Clear,Main,3,699
301,22,2,0.0,Clear,Main,2,565
302,10,2,0.0,Clear,Highway,4,677
303,11,6,0.0,Clear,Main,3,517
304,12,1,0.0,Rain,Local,5,442
305,7,6,0.0,Clear,Main,4,817
306,16,1,0.0,Clear,Highway,4,776
307,23,0,0.0,Rain,Highway,3,693
308,13,3,0.0,Clear,Main,2,561
309,16,5,0.0,Clear,Highway,4,852
310,18,5,0.0,Clear,Local,3,581
311,15,5,0.0,Snow,Local,4,310
312,8,4,0.0,Clear,Local,4,615
313,19,0,0.0,Clear,Local,3,609
314,9,2,0.0,Snow,Highway,5,1000
315,8,2,0.0,Rain,Highway,5,952
316,0,3,0.0,Rain,Main,5,636
317,23,6,0.0,Clear,Highway,4,838
318,2,0,0.0,Rain,Main,2,545
319,10,4,1.0,Clear,Highway,2,597
320,6,0,0.0,Clear,Main,4,568
321,17,0,0.0,Clear,Main,4,886
322,12,3,0.0,Rain,Local,3,293
323,22,4,0.0,Clear,Main,2,432
324,22,5,0.0,Clear,Main,4,595
325,17,2,0.0,Clear,Main,5,977
326,15,1,0.0,Clear,Main,2,579
327,23,6,0.0,Clear,Main,4,534
328,15,5,0.0,Clear,Local,3,328
329,20,4,0.0,Rain,Main,3,671
330,9,2,0.0,Clear,Main,2,665
331,8,5,0.0,Rain,Main,5,930
332,7,3,0.0,Clear,Highway,2,948
333,18,6,0.0,Clear,Highway,4,1000
334,2,4,0.0,Clear,Local,5,427
335,23,4,0.0,Rain,Main,4,579
336,8,2,0.0,Clear,Main,5,804
337,1,2,0.0,Clear,Highway,5,889
338,18,0,0.0,Clear,Main,4,768
339,7,0,0.0,Snow,Local,2,491
340,17,4,0.0,Clear,Main,3,881
341,7,1,0.0,Clear,Local,5,679
342,4,3,0.0,Snow,Highway,5,900
343,5,2,0.0,Rain,Local,3,267
344,9,0,0.0,Clear,Local,2,450
345,14,3,0.0,Clear,Local,3,409
346,3,6,1.0,Clear,Local,2,206
347,2,5,0.0,Rain,Local,5,398
348,23,5,0.0,Clear,Local,5,481
349,8,4,0.0,Rain,Local,4,573
350,15,2,,Snow,Local,2,426
351,15,5,0.0,Snow,Local,3,379
352,14,6,0.0,Rain,Highway,2,653
353,23,2,0.0,Clear,Local,2,344
354,8,0,0.0,Clear,Local,2,580
355,16,5,0.0,Clear,Main,2,499
356,20,1,0.0,Clear,Main,3,511
357,11,5,0.0,Clear,Main,4,602
358,22,2,0.0,Clear,Local,5,419
359,7,1,0.0,Snow,Highway,3,937
360,13,3,0.0,Rain,Highway,3,680
361,17,5,0.0,Clear,Main,5,943
362,11,2,0.0,Clear,Main,4,542
363,13,5,0.0,Clear,Local,3,380
364,19,5,0.0,Rain,Highway,5,1000
365,22,2,0.0,Clear,Highway,4,811
366,4,1,0.0,Snow,Main,4,576
367,0,0,0.0,Rain,Highway,2,709
368,12,6,0.0,Snow,Main,3,571
369,13,5,0.0,Rain,Main,4,582
370,1,4,0.0,Rain,Local,3,263
371,15,3,0.0,Rain,Main,5,666
372,4,2,,Clear,Local,3,369
373,21,5,1.0,Clear,Highway,4,628
374,0,6,0.0,Rain,Highway,5,800
375,11,0,0.0,Clear,Main,5,632
376,18,2,0.0,Clear,Main,2,635
377,21,5,0.0,Rain,Local,5,485
378,21,3,1.0,Rain,Local,4,275
379,22,4,0.0,Clear,Highway,2,714
380,9,2,0.0,Clear,Highway,4,946
381,11,5,0.0,Clear,Main,4,700
382,18,1,0.0,Clear,Main,2,678
383,15,0,0.0,Snow,Local,2,275
384,16,4,0.0,Clear,Main,3,609
385,12,2,0.0,Snow,Local,4,342
386,6,5,0.0,Clear,Highway,3,754
387,2,4,0.0,Clear,Highway,5,881
388,4,1,1.0,Rain,Main,5,474
389,3,2,0.0,Clear,Local,3,316
390,14,4,0.0,Clear,Main,2,509
391,16,2,0.0,Snow,Main,5,672
392,11,2,0.0,Rain,Local,2,258
393,22,4,0.0,Clear,Main,3,642
394,13,2,0.0,Clear,Local,2,324
395,3,1,0.0,Clear,Local,4,438
396,16,4,0.0,Snow,Main,5,685
397,10,5,0.0,Rain,Local,2,221
398,5,6,,Clear,Highway,2,694
399,3,4,0.0,Clear,Highway,4,799
400,12,1,0.0,Rain,Highway,2,687
401,19,1,0.0,Clear,Highway,3,1000
402,14,1,0.0,Snow,Main,3,444
403,17,5,0.0,Snow,Highway,3,1000
404,16,5,0.0,Rain,Highway,5,834
405,18,6,,Rain,Highway,2,844
406,9,6,0.0,Clear,Highway,5,1000
407,4,2,,Clear,Main,5,590
408,11,2,0.0,Rain,Highway,2,680
409,14,3,0.0,Clear,Local,2,287
410,22,6,0.0,Clear,Local,3,257
411,3,6,0.0,Clear,Main,5,563
412,7,2,0.0,Clear,Main,5,877
413,19,1,0.0,Clear,Main,2,719
414,21,3,,Rain,Highway,5,830
415,16,6,0.0,Clear,Main,4,603
416,5,1,0.0,Clear,Highway,2,612
417,15,0,1.0,Clear,Main,3,429
418,4,6,0.0,Clear,Local,4,394
419,13,5,0.0,Rain,Local,4,488
420,1,4,0.0,Clear,Highway,3,703
421,16,0,0.0,Clear,Main,4,639
422,5,5,0.0,Clear,Local,4,399
423,10,5,0.0,Snow,Highway,4,743
424,1,1,0.0,Clear,Local,5,418
425,0,2,,Clear,Main,4,643
426,4,4,0.0,Clear,Highway,4,838
427,7,2,0.0,Clear,Local,2,473
428,3,2,0.0,Clear,Main,3,567
429,18,6,0.0,Rain,Highway,5,1000
430,4,4,0.0,Clear,Local,5,441
431,4,4,0.0,Rain,Local,3,328
432,23,0,0.0,Clear,Highway,5,896
433,15,1,0.0,Clear,Main,5,673
434,21,2,0.0,Rain,Highway,5,816
435,17,1,1.0,Clear,Local,2,421
436,10,1,,Rain,Local,2,298
437,16,6,0.0,Rain,Local,5,441
438,2,3,0.0,Snow,Main,3,536
439,17,0,,Clear,Local,3,582
440,3,2,0.0,Clear,Local,2,368
441,18,5,0.0,Clear,Highway,2,927
442,8,4,0.0,Clear,Local,4,614
443,4,4,0.0,Clear,Highway,2,821
444,3,1,0.0,Clear,Local,5,407
445,15,0,0.0,Clear,Highway,2,709
446,9,0,0.0,Clear,Highway,4,1000
447,8,2,0.0,Rain,Highway,4,999
448,15,2,0.0,Rain,Highway,3,752
449,19,1,0.0,Clear,Main,3,756
450,21,1,0.0,Rain,Local,5,467
451,16,1,0.0,Clear,Main,2,408
452,17,3,0.0,Clear,Local,4,739
453,14,0,0.0,Clear,Highway,4,885
454,19,1,0.0,Rain,Local,3,583
455,8,6,0.0,Clear,Highway,3,1000
456,5,0,0.0,Clear,Local,2,285
457,5,5,,Snow,Highway,4,800
458,10,4,0.0,Clear,Local,3,315
459,19,4,0.0,Snow,Local,2,590
460,2,0,,Clear,Local,2,270
461,22,5,0.0,Rain,Highway,2,739
462,11,4,0.0,Clear,Local,3,347
463,14,4,0.0,Rain,Highway,3,749
464,6,4,0.0,Snow,Main,3,475
465,21,2,0.0,Rain,Local,5,452
466,17,5,0.0,Clear,Highway,5,1000
467,21,2,0.0,Rain,Highway,5,853
468,14,0,1.0,Rain,Highway,3,746
469,7,0,0.0,Clear,Main,3,680
470,21,3,1.0,Snow,Highway,5,742
471,8,2,0.0,Clear,Main,4,768
472,14,0,0.0,Clear,Main,4,547
473,15,2,0.0,Clear,Highway,4,760
474,19,3,1.0,Clear,Local,4,623
475,2,0,0.0,Clear,Main,5,736
476,4,0,0.0,Clear,Highway,2,647
477,2,0,0.0,Clear,Main,2,520
478,1,0,0.0,Clear,Highway,4,754
479,1,1,0.0,Snow,Highway,3,716
480,3,5,0.0,Clear,Main,4,497
481,2,5,0.0,Clear,Highway,4,906
482,8,2,0.0,Clear,Main,2,754
483,22,2,0.0,Clear,Highway,3,717
484,21,2,0.0,Clear,Local,2,314
485,11,3,0.0,Clear,Local,3,330
486,23,6,1.0,Rain,Main,5,597
487,8,1,0.0,Clear,Main,2,682
488,18,6,0.0,Clear,Main,5,890
489,11,2,0.0,Clear,Main,5,616
490,15,2,0.0,Snow,Local,4,430
491,22,0,0.0,Clear,Main,3,660
492,0,6,0.0,Clear,Highway,2,685
493,9,0,0.0,Snow,Highway,4,985
494,22,6,0.0,Snow,Main,2,498
495,9,6,0.0,Clear,Highway,5,1000
496,3,0,0.0,Clear,Main,2,485
497,10,2,0.0,Clear,Highway,2,680
498,21,0,0.0,Clear,Highway,4,804
499,10,2,0.0,Clear,Main,3,462
500,10,6,0.0,Clear,Main,2,472
501,21,3,0.0,Rain,Local,5,349
502,5,3,0.0,Clear,Main,5,625
